Object Type	PID	Title	Path	Label	Depth	Deleted	Date Added	Date Updated	MIME Type	Checksum	File Size (bytes)	Number of Children
Folder	uuid:1e58f798-d494-4593-bf7e-d124a68c6540	Art MFA Theses	/Collections/Master's Papers/Art MFA Theses	Studio Art MFA Projects	2	FALSE	3/27/13 13:39	5/3/15 18:42				7530
File	uuid:1359f18d-2cae-434c-a68c-6e4f0c82fa4f	2014_williams.pdf	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/2014_williams.pdf	2014_williams.pdf	4	FALSE	5/1/14 3:46	5/7/14 18:46	application/pdf	19fc33022fa9cfe01e3abeb78a08b7cd	2891212	
File	uuid:64a20091-20b2-4ecb-805b-13c725be6fba	The Ain't Gots	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/The Ain't Gots	2014_williams_01.tif	4	FALSE	5/1/14 3:46	5/1/14 3:47	image/tiff	275584817ad6250dacaef908bf1fa9e3	7406184	
File	uuid:e49f61d1-dbaa-4b1f-9285-49ea3a56f82e	The Ain't Gots (detail)	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/The Ain't Gots (detail)	2014_williams_02.tif	4	FALSE	5/1/14 3:46	5/1/14 3:47	image/tiff	8a2c3dad501c87b70a61dec5345b801a	6692312	
File	uuid:0a7973c5-f863-4cbf-ad1e-bf6f16d01c40	The Ain't Gots (detail)	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/The Ain't Gots (detail)	2014_williams_03.tif	4	FALSE	5/1/14 3:46	5/1/14 3:48	image/tiff	367c7a7c8c93efc3b6499db22a2936e5	16620984	
File	uuid:fda6773f-2082-4688-9f6b-6351ac13c0e4	Strange Froot No. 1	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Strange Froot No. 1	2014_williams_04.tif	4	FALSE	5/1/14 3:46	5/1/14 3:48	image/tiff	71c40f31921bebd6a1c26eb822cb92e7	14735196	
File	uuid:639913b6-9f07-4c9f-ab4a-41da7f502ba6	Strange Froot No.2	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Strange Froot No.2	2014_williams_05.tif	4	FALSE	5/1/14 3:46	5/1/14 3:48	image/tiff	e0ce77891bc3907632d9d41469fbd92c	14985368	
File	uuid:da4b8ec5-aa5d-414e-b4f2-32e7fe35a14c	"Cause You are the Son of Slaves, Your Daddy was a Bastard"	"/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Cause You are the Son of Slaves, Your Daddy was a Bastard"	2014_williams_06.tif	4	FALSE	5/1/14 3:46	5/1/14 3:48	image/tiff	cc4be274dceaa49f5be2d51b82154deb	7995160	
File	uuid:033cf8b3-797d-4e34-a1d9-f9f5a25f460c	Gods of Dysfunction (installation shot)	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Gods of Dysfunction (installation shot)	2014_williams_07.tif	4	FALSE	5/1/14 3:46	5/1/14 3:49	image/tiff	bad4209129cb5d5828d1f652eeb10422	7196276	
File	uuid:52064864-56fc-4539-942b-99253ba30eec	Gods of Dysfunction (installation shot)	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Gods of Dysfunction (installation shot)	2014_williams_08.tif	4	FALSE	5/1/14 3:46	5/1/14 3:48	image/tiff	d51bbf5b2070ec8dac5271687f3a23db	7403456	
File	uuid:88f1b1a0-702c-41ca-aefe-33f462b7a964	Installation shot	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Installation shot	2014_williams_09.tif	4	FALSE	5/1/14 3:47	5/1/14 3:49	image/tiff	3b4d8569bcfd209288a6636bba10a28f	7790128	
File	uuid:fe146bbe-b747-4eeb-8f83-1b13556dc1a2	Gods of Dysfunction (series)	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Gods of Dysfunction (series)	2014_williams_10.tif	4	FALSE	5/1/14 3:47	5/1/14 3:49	image/tiff	33408d1a400bae44cdb436c0fe29850c	7630672	
File	uuid:99efbf00-90e6-41cb-8240-1fd2125eed5d	Gods of Dysfunction (series)	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Gods of Dysfunction (series)	2014_williams_11.tif	4	FALSE	5/1/14 3:47	5/1/14 3:49	image/tiff	7356c994cdb853c8f01a8772156997d5	13208768	
File	uuid:0e00fba2-84a6-433e-9af4-10839019e7de	Untitled	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Untitled	2014_williams_12.tif	4	FALSE	5/1/14 3:47	5/1/14 3:49	image/tiff	4860be480c59b6b28b3a75f283eeb78d	12877564	
File	uuid:506d5880-9803-4ee2-b8d8-b2f0b934451f	Untitled	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Untitled	2014_williams_13.tif	4	FALSE	5/1/14 3:47	5/1/14 3:50	image/tiff	042e292a5a2f0be98aeb75f870d955a3	13232696	
File	uuid:9b8ec5bf-399c-4adc-b69e-d0829d83a8ad	Untitled	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Untitled	2014_williams_14.tif	4	FALSE	5/1/14 3:47	5/1/14 3:50	image/tiff	b4672de3e33b86cf4c5872b70b7ddb92	13577596	
File	uuid:e8116afa-e26a-4d47-b82b-5b95319eed93	Untitled	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Untitled	2014_williams_15.tif	4	FALSE	5/1/14 3:47	5/1/14 3:50	image/tiff	b948aec6626d20bb43874aef727657e4	13303940	
File	uuid:70fe248b-307f-4191-ae61-1539e2fc4926	Antoine Williams MFA Thesis Defense	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things/Antoine Williams MFA Thesis Defense	Antoine Williams MFA Thesis Defense	4	FALSE	5/19/14 13:47	5/19/14 13:47	video/mp4	2da65e42211262cf360e3f2e181a1f43	50457252	
Aggregate	uuid:01c62979-5be5-49da-bc30-2b869e8bf2be	Something in the Way of Things	/Collections/Master's Papers/Art MFA Theses/Something in the Way of Things	Something in the Way of Things	3	FALSE	5/1/14 3:45	5/19/14 13:47				17
Aggregate	uuid:032919fb-324a-4005-acac-78f404e92ca2	Minerality and Desire: Notes from an ongoing inquiry	/Collections/Master's Papers/Art MFA Theses/Minerality and Desire: Notes from an ongoing inquiry		3	TRUE	5/1/15 13:31	5/4/15 9:12				2
File	uuid:2d30866f-d9ef-4ecf-9e9a-b9ba5eb99f8e	2015_White.pdf	/Collections/Master's Papers/Art MFA Theses/Minerality and Desire: Notes from an ongoing inquiry/2015_White.pdf	2015_White.pdf	4	TRUE	5/1/15 13:31	5/3/15 18:10	application/pdf	d446295b70cb0900e609a5a123a33aeb	2498049	
File	uuid:4b627b99-13bd-4cb7-931e-89943f96e152	Minerality and Desire [Installation view]	/Collections/Master's Papers/Art MFA Theses/Minerality and Desire: Notes from an ongoing inquiry/Minerality and Desire [Installation view]	2015_White_1.tif	4	TRUE	5/1/15 13:32	5/3/15 18:12	image/tiff	2e814c744b2ff4cacab64b59db0143ce	6229666	
Aggregate	uuid:0727e19f-5e65-4207-afc9-91895e3f93a3	Glossolalia: The Map Is Not The Territory	/Collections/Master's Papers/Art MFA Theses/Glossolalia: The Map Is Not The Territory		3	FALSE	5/1/15 12:58	5/5/15 8:08				16
