Object Type	PID	Title	Path	Label	Depth	Deleted	Date Added	Date Updated	MIME Type	Checksum	File Size (bytes)	Number of Children
Folder	uuid:94f2df65-25e7-474d-a0b6-2fdc0f305b1e	School of Information and Library Science	/Collections/Master's Papers/School of Information and Library Science	School of Info and Library Science	2	FALSE	12/10/10 12:08	1/16/15 14:21				2083
File	uuid:5df593ab-141c-4df6-8bf7-d1b235218385	"Forming Your Terrorist Network:  ISIS, Twitter, and the Terrorist Propaganda Campaign"	"/Collections/Master's Papers/School of Information and Library Science/Forming Your Terrorist Network:  ISIS, Twitter, and the Terrorist Propaganda Campaign"	elizabethpeele.pdf	3	FALSE	4/6/15 13:24	4/6/15 13:24	application/pdf	e21e995c785201d009f8b9d2ca546084	984346	
File	uuid:3d0a583d-c072-4b0c-a813-bcccd2ca750c	Portrayals and Presence of Adult Female Characters in Children's Picture Books: A Content Analysis of Bestsellers from the Past Five Years	/Collections/Master's Papers/School of Information and Library Science/Portrayals and Presence of Adult Female Characters in Children's Picture Books: A Content Analysis of Bestsellers from the Past Five Years	jessicamcadams.pdf	3	FALSE	4/6/15 14:55	4/6/15 14:55	application/pdf	086e24b325ca1e008fbf31fab11f2e9e	378937	
File	uuid:04b0159d-c429-4ec6-9018-3676bcf91721	Nonprofit Use of Information Visualization	/Collections/Master's Papers/School of Information and Library Science/Nonprofit Use of Information Visualization	carolinesimpson.pdf	3	FALSE	4/6/15 21:42	4/6/15 21:42	application/pdf	1bdb40e7342242561b5dd008bf648246	601619	
File	uuid:347b61e4-47f0-4df8-8851-0671c58faf0b	"""I Don't Care What Color You Are"": The Depiction of Adolescent Interracial Romances in Young Adult Novels"	"/Collections/Master's Papers/School of Information and Library Science/""I Don't Care What Color You Are"": The Depiction of Adolescent Interracial Romances in Young Adult Novels"	Southwell_master's_paper.pdf	3	FALSE	4/7/15 13:50	4/7/15 13:50	application/pdf	b3806024393d37d2da0a5a27c5268972	360531	
File	uuid:b65cf08c-edd8-4789-9099-5620c0dedce4	Describing Historical Objects for Users with Subject Knowledge: Lessons from the Charles Kuralt Learning Center	/Collections/Master's Papers/School of Information and Library Science/Describing Historical Objects for Users with Subject Knowledge: Lessons from the Charles Kuralt Learning Center	shelbymerritt.pdf	3	FALSE	4/7/15 13:58	4/7/15 13:58	application/pdf	1079f6c5960002803dc147db230b154f	547205	
File	uuid:16b69add-fbf5-446b-b37f-079af6bcac83	Autism Spectrum Disorder Representation in Young Adult Literature: A Content Analysis.	/Collections/Master's Papers/School of Information and Library Science/Autism Spectrum Disorder Representation in Young Adult Literature: A Content Analysis.	marlijohnston.pdf	3	FALSE	1/16/15 14:19	1/16/15 14:21	application/pdf	24e43a914060ecabe8869d8de24969a8	571782	
File	uuid:676c3692-9706-40e2-9f1d-6e63e62ea57a	Toward a Definition of Minimalism: Principles of Minimal Visual Design in Web Interfaces	/Collections/Master's Papers/School of Information and Library Science/Toward a Definition of Minimalism: Principles of Minimal Visual Design in Web Interfaces	katherinemeyer.pdf	3	FALSE	3/19/15 10:57	3/21/15 18:09	application/pdf	0f2c40c0a224c20608cd4988d286c97a	1527297	
File	uuid:736a287d-7b37-4bd2-b09e-4cd9145173fc	Graduate Education in Cataloging: What Courses and Competencies Are Being Taught?	/Collections/Master's Papers/School of Information and Library Science/Graduate Education in Cataloging: What Courses and Competencies Are Being Taught?	lynnejones.pdf	3	FALSE	3/27/15 14:50	3/29/15 1:36	application/pdf	dc7a57cbbdf3ae42c6b0f604bf10a25e	280412	
File	uuid:d6311c1d-632d-4b57-a093-f6953e7ae399	Data Visualization Service: SQL Vs. NoSQL	/Collections/Master's Papers/School of Information and Library Science/Data Visualization Service: SQL Vs. NoSQL	landongridheim.pdf	3	FALSE	3/30/15 11:54	3/30/15 11:55	application/pdf	f312747066bc365b6ad598dbd093f56a	212613	
