Object Type,PID,Title,Path,Label,Depth,Deleted,Date Added,Date Updated,MIME Type,Checksum,File Size (bytes),Number of Children
Collection,uuid:8bfff35f-8824-4ecb-81a2-033a04384343,UNC Scholarly Publications,/Collections/UNC Scholarly Publications,UNC Chapel Hill Faculty Works,1,false,2012-12-17 12:08:09,2015-12-03 10:28:51,,,,4543
File,uuid:eaa8d49c-4c6b-4ec5-8b6d-103b3cc8c4f8,Holiday Children,/Collections/UNC Scholarly Publications/Holiday Children,HolidayChildren.pdf,2,false,2013-07-24 10:31:44,2014-05-07 17:27:49,application/pdf,23974b8d5510b439c36afdd3c34191a2,213487,
File,uuid:c8ac8d45-942e-4193-a2ca-88cbe9e92a83,Princesses,/Collections/UNC Scholarly Publications/Princesses,Princesses.pdf,2,false,2013-07-24 10:31:50,2014-05-07 17:27:43,application/pdf,fde6a51ae8c6c56c7dda54fa6a289325,384884,
File,uuid:fc8f6a87-d601-44d9-9e7a-43cb66e6fa24,Megaviol: A Bibliography of the Viols,/Collections/UNC Scholarly Publications/Megaviol: A Bibliography of the Viols,MEGAVIOL.pdf,2,false,2013-01-30 11:43:04,2014-05-07 16:11:46,application/pdf,e97991f0f4bb54a642740f1f2b2a0d93,555424,
File,uuid:35b0478d-2444-42fe-8555-873b0b40a90a,Schach von Wuthenow: A Story from the Time of the Regiment Gensdarmes,/Collections/UNC Scholarly Publications/Schach von Wuthenow: A Story from the Time of the Regiment Gensdarmes,SchachvonWuthenow.pdf,2,false,2013-08-27 11:11:35,2014-05-07 17:30:39,application/pdf,90f9d467d6653c6fea3abeaf8d85b677,713078,
File,uuid:b6280265-1f25-4114-ab82-0f35625d5bfe,Rational Environmentalism,/Collections/UNC Scholarly Publications/Rational Environmentalism,Rational Environmentalism,2,false,2013-10-14 13:23:01,2014-05-07 18:10:01,application/pdf,bc0a84f00535cd1da5ab2e0d8bf1c39d,22363567,
File,uuid:6e569a34-7c6b-4409-af17-7806eb41a171,"Number 2, Margaretenstrasse","/Collections/UNC Scholarly Publications/Number 2, Margaretenstrasse",Die Dritte Stiege,2,false,2014-09-04 11:17:28,2014-09-04 11:27:40,application/pdf,1bf69f793472710aa0280c4a06051e65,757408,
File,uuid:c39d3ef1-7601-423e-b513-6512e729a28b,Docsouth Readers MySQL dump file,/Collections/UNC Scholarly Publications/Docsouth Readers MySQL dump file,Docsouth Readers MySQL dump file,2,false,2014-09-23 15:40:11,2015-10-09 14:29:08,text/html,3993df04ead3769e4d8fce6535a6e36c,5124406,
Aggregate,uuid:035d0ef7-1df9-44d2-9104-850304685e91,Test Title,/Collections/UNC Scholarly Publications/Test Title,,2,true,2015-12-04 10:02:34,2015-12-04 10:02:34,,,,2
File,uuid:2e256e10-1361-409d-bbef-a27cf856b440,agreement.txt,/Collections/UNC Scholarly Publications/Test Title/agreement.txt,agreement.txt,3,true,2015-12-04 10:03:11,2015-12-04 10:03:11,text/plain,630c9e7f490c8867b3e07d0557c34d2e,282,
File,uuid:5fe5a326-1702-48c1-ae89-1d3fddeaf01a,This is a test pdf.pdf,/Collections/UNC Scholarly Publications/Test Title/This is a test pdf.pdf,This is a test pdf.pdf,3,true,2015-12-04 10:02:53,2015-12-04 10:02:53,application/pdf,51c0947e30094c7ad48e148a7c434aa9,9737,
File,uuid:99a00d37-4ae1-4043-92b9-a555e71a5327,agreement.txt,/Collections/UNC Scholarly Publications/Engine of Innovation: Building the High-Performance Catalog/agreement.txt,agreement.txt,3,false,2015-12-04 15:43:55,2015-12-04 15:43:55,text/plain,566a77d15843fb4add605b54c367f0d1,283,
File,uuid:2aeaaccc-da81-41e1-8030-6c631448dc94,uuid_afedd6b9-2a01-44d5-97d5-28d74dc6bf5f.pdf,/Collections/UNC Scholarly Publications/Engine of Innovation: Building the High-Performance Catalog/uuid_afedd6b9-2a01-44d5-97d5-28d74dc6bf5f.pdf,uuid_afedd6b9-2a01-44d5-97d5-28d74dc6bf5f.pdf,3,false,2015-12-04 15:43:07,2015-12-04 15:43:07,application/pdf,837c5c34a761656ce156d7fafd87755c,171542,
Aggregate,uuid:0841043e-0b6f-423c-81f3-29e20a2d626d,Engine of Innovation: Building the High-Performance Catalog,/Collections/UNC Scholarly Publications/Engine of Innovation: Building the High-Performance Catalog,,2,false,2015-12-04 15:42:31,2015-12-04 15:42:31,,,,2
Aggregate,uuid:0a5dfbc8-41ec-4526-ad3d-779d0696db2f,Test Title,/Collections/UNC Scholarly Publications/Test Title,,2,true,2015-12-04 09:58:31,2015-12-04 09:58:31,,,,2
File,uuid:978a113b-bbe3-435c-baa3-63aae98f3a84,agreement.txt,/Collections/UNC Scholarly Publications/Test Title/agreement.txt,agreement.txt,3,true,2015-12-04 09:59:29,2015-12-04 09:59:29,text/plain,630c9e7f490c8867b3e07d0557c34d2e,282,
File,uuid:19e30579-a7c4-4a44-9476-b7e5adaddc26,This is a test pdf.pdf,/Collections/UNC Scholarly Publications/Test Title/This is a test pdf.pdf,This is a test pdf.pdf,3,true,2015-12-04 09:58:59,2015-12-04 09:58:59,application/pdf,51c0947e30094c7ad48e148a7c434aa9,9737,
File,uuid:f04dd6f4-f1f9-45d2-8d3c-2016f5c2c215,Kuo-2014-Genetics-Fig1,/Collections/UNC Scholarly Publications/Kuo 2014 genetics data sets/Kuo-2014-Genetics-Fig1,Kuo_2014_Genetics_Fig1,3,false,2014-09-02 19:41:29,2014-09-05 10:02:10,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,c6a7b056e4384ccbb8289829d026df48,140050,
File,uuid:de0777be-91b0-45a1-9b88-9e2e7a2aa644,Kuo-2014-Genetics-Fig3,/Collections/UNC Scholarly Publications/Kuo 2014 genetics data sets/Kuo-2014-Genetics-Fig3,Kuo-2014-Genetics-Fig3,3,false,2014-09-02 19:41:47,2014-09-04 11:13:58,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,c8b1f059341eae159ef1a2e8b942b95f,29991,
File,uuid:a6ae9d34-59e7-46d8-9e73-cf78754bdfd8,Kuo-2014-Genetics-Fig4,/Collections/UNC Scholarly Publications/Kuo 2014 genetics data sets/Kuo-2014-Genetics-Fig4,Kuo-2014-Genetics-Fig4,3,false,2014-09-02 19:42:06,2014-09-04 11:14:25,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,463966622e8db608321bac14402813f2,39246,
File,uuid:105121e5-5e41-44fd-a001-ed9c37830219,Kuo-2014-Genetics-Fig2,/Collections/UNC Scholarly Publications/Kuo 2014 genetics data sets/Kuo-2014-Genetics-Fig2,Kuo-2014-Genetics-Fig2,3,false,2014-09-02 19:42:22,2014-09-04 11:14:50,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,21aaa739ec6366d66b5075bb8aa7d54f,49087,
Aggregate,uuid:20241bf0-3b7e-4acf-bff7-d906397f1caf,Kuo 2014 genetics data sets,/Collections/UNC Scholarly Publications/Kuo 2014 genetics data sets,Kuo-2014-Genetics,2,false,2014-09-02 12:23:18,2015-11-10 11:47:00,,,,4
File,uuid:2ad715be-c8d4-4b0e-80c1-c1e1f44fdc5c,agreement.txt,"/Collections/UNC Scholarly Publications/Nusta Juira's Gift of Quinoa: Peasants, Trademarks, and Intermediaries in the Transformation of a Bolivian Commodity Economy/agreement.txt",agreement.txt,3,false,2016-04-05 12:54:52,2016-04-05 12:56:00,text/plain,2dc148e3b84db1dd466a0e093ea5d65a,281,
Aggregate,uuid:2147dcbb-f36d-48d9-87ae-4ebc1b05fbed,"Nusta Juira's Gift of Quinoa: Peasants, Trademarks, and Intermediaries in the Transformation of a Bolivian Commodity Economy","/Collections/UNC Scholarly Publications/Nusta Juira's Gift of Quinoa: Peasants, Trademarks, and Intermediaries in the Transformation of a Bolivian Commodity Economy",,2,false,2016-04-05 12:54:07,2016-04-05 12:54:07,,,,2
File,uuid:24f9d87e-7419-49a4-a828-ec73ed00e48b,awr1062.pdf,"/Collections/UNC Scholarly Publications/Nusta Juira's Gift of Quinoa: Peasants, Trademarks, and Intermediaries in the Transformation of a Bolivian Commodity Economy/awr1062.pdf",awr1062.pdf,3,false,2016-04-05 12:54:26,2016-04-05 12:55:46,application/pdf,0792d5b28318ec1c690a53a9d77e1107,807218,
File,uuid:baf065d8-3672-4776-8456-9783487a7cae,This is a test pdf.pdf,/Collections/UNC Scholarly Publications/Test of the form/This is a test pdf.pdf,This is a test pdf.pdf,3,true,2015-12-03 09:26:00,2015-12-03 09:55:25,application/pdf,51c0947e30094c7ad48e148a7c434aa9,9737,
File,uuid:91bed783-dfb1-4f87-9392-dcfe4c5a71a4,a5.jpg,/Collections/UNC Scholarly Publications/Test of the form/a5.jpg,a5.jpg,3,true,2015-12-03 09:27:29,2015-12-03 10:01:22,image/jpeg,70748a97694e0e956de707605158e547,347134,
File,uuid:2d545747-f2a4-4cdb-8357-5b81873b5e18,agreement.txt,/Collections/UNC Scholarly Publications/Test of the form/agreement.txt,agreement.txt,3,true,2015-12-03 09:27:53,2015-12-03 10:04:50,text/plain,16e6e016c775e2cec8565a6f9f1d4874,282,
File,uuid:a08335d6-ef4a-44de-aefb-6fdbb4591782,1a.jpg,/Collections/UNC Scholarly Publications/Test of the form/1a.jpg,1a.jpg,3,true,2015-12-03 09:26:49,2015-12-03 09:59:00,image/jpeg,2cafa2df795bd8b77b04fea68a8b4aa9,299919,
Aggregate,uuid:25f4aa58-8d5f-49a3-81a1-04c60eb8160e,Test of the form,/Collections/UNC Scholarly Publications/Test of the form,,2,true,2015-12-03 09:25:13,2015-12-03 10:39:55,,,,4
File,uuid:bca5f7c4-2cf2-458c-a9dc-3ba33624207b,Letters of an observant traveller concerning music. Part I,/Collections/UNC Scholarly Publications/Letters of an observant traveller concerning music/Letters of an observant traveller concerning music. Part I,JohannReichardtPart1.doc,3,false,2012-12-17 15:03:04,2014-05-07 23:12:57,application/msword,eeff7ea8bb167a2aa7598dbeefbc7a90,215040,
File,uuid:48022a73-7285-467d-9c34-b4983960b0c4,Letters of an observant traveller concerning music. Part I,/Collections/UNC Scholarly Publications/Letters of an observant traveller concerning music/Letters of an observant traveller concerning music. Part I,JohannReichardtPart1.pdf,3,false,2012-12-17 15:03:09,2014-05-07 16:11:37,application/pdf,6b3dafe0f1b41f8fe4b33218c26ba471,260407,
File,uuid:cb97f379-5f41-43ac-b829-f6b12c3c9d3a,"Letters of an observant traveller concerning music. Part II ","/Collections/UNC Scholarly Publications/Letters of an observant traveller concerning music/Letters of an observant traveller concerning music. Part II ",JohannReichardtPart2.doc,3,false,2012-12-17 15:03:13,2014-05-07 23:12:57,application/msword,e26652afee6ff3a0e7a867f5bea6d910,154624,
File,uuid:eb9e23fd-925f-4c59-9857-9f97c5eb3f2b,Letters of an observant traveller concerning music. Part II,/Collections/UNC Scholarly Publications/Letters of an observant traveller concerning music/Letters of an observant traveller concerning music. Part II,JohannReichardtPart2.pdf,3,false,2012-12-17 15:03:16,2014-05-07 16:11:45,application/pdf,0f5998e0f08b1d6e430557972e85ba41,229940,
Aggregate,uuid:3efaf06e-5947-4bb3-9db1-06b52822ec85,Letters of an observant traveller concerning music,/Collections/UNC Scholarly Publications/Letters of an observant traveller concerning music,Johann Reichardt,2,false,2012-12-17 13:36:09,2015-11-11 14:41:12,,,,4
File,uuid:1cc5b882-5b69-4ba4-b35a-ce985269581e,A Day in the Life: Science Edition,/Collections/UNC Scholarly Publications/Data Librarianship: A Day in the Life - Science Edition dataset/A Day in the Life: Science Edition,Day_In_the_Life_Science.xlsx,3,false,2015-08-24 16:47:45,2015-12-02 16:53:44,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,7bb104fa5c2b782ed6d60ed82ca0c1bb,69921,
Aggregate,uuid:7508ab89-991f-41da-b0be-c3b74c74525e,Data Librarianship: A Day in the Life - Science Edition dataset,/Collections/UNC Scholarly Publications/Data Librarianship: A Day in the Life - Science Edition dataset,Change this name,2,false,2015-09-24 10:41:23,2015-10-07 17:25:53,,,,1
File,uuid:80336bb6-1b4d-4304-aba0-ac4b3d66ed0f,Digital Humanities in Libraries,/Collections/UNC Scholarly Publications/Digital Humanities in Libraries/Digital Humanities in Libraries,Hswe_Varner_FeatureOnDigitalHumanities_FullVersion.pdf,3,false,2016-02-03 16:55:21,2016-02-03 16:56:21,application/pdf,8d12c65701ec48ae67d6739494fa77ca,170076,
